,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
et,Extra Trees Classifier,0.1302,0.6692,0.1302,0.1303,0.1223,0.1001,0.1007,0.224
rf,Random Forest Classifier,0.1292,0.6688,0.1292,0.1218,0.1176,0.0991,0.0996,0.254
lightgbm,Light Gradient Boosting Machine,0.1052,0.6517,0.1052,0.0952,0.0952,0.0743,0.0747,19.677
qda,Quadratic Discriminant Analysis,0.1033,0.0,0.1033,0.0813,0.0804,0.0726,0.0741,0.028
gbc,Gradient Boosting Classifier,0.1005,0.0,0.1005,0.0954,0.0906,0.0692,0.0697,9.804
nb,Naive Bayes,0.0909,0.6382,0.0909,0.0623,0.059,0.0596,0.0619,0.04
dt,Decision Tree Classifier,0.0871,0.5278,0.0871,0.0957,0.0849,0.0555,0.0558,0.057
ridge,Ridge Classifier,0.0842,0.0,0.0842,0.034,0.0387,0.053,0.0565,0.026
knn,K Neighbors Classifier,0.0786,0.5601,0.0786,0.0754,0.0688,0.0468,0.0475,0.074
lda,Linear Discriminant Analysis,0.0784,0.0,0.0784,0.0496,0.0551,0.0469,0.0478,0.027
ada,Ada Boost Classifier,0.0584,0.0,0.0584,0.0413,0.0412,0.0254,0.0262,0.221
lr,Logistic Regression,0.043,0.0,0.043,0.023,0.0229,0.0115,0.0122,0.636
svm,SVM - Linear Kernel,0.0326,0.0,0.0326,0.0027,0.0035,0.0,0.0021,0.068
dummy,Dummy Classifier,0.0287,0.5,0.0287,0.0008,0.0016,0.0,0.0,0.034
