,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
et,Extra Trees Classifier,0.5253,0.9338,0.5253,0.5393,0.4997,0.5088,0.5113,0.213
rf,Random Forest Classifier,0.512,0.9307,0.512,0.5351,0.4944,0.495,0.4972,0.324
lightgbm,Light Gradient Boosting Machine,0.4908,0.9164,0.4908,0.5151,0.4762,0.4732,0.4753,20.499
lda,Linear Discriminant Analysis,0.3895,0.0,0.3895,0.3944,0.3683,0.3684,0.3705,0.033
gbc,Gradient Boosting Classifier,0.3847,0.0,0.3847,0.435,0.383,0.3635,0.3654,36.253
nb,Naive Bayes,0.3665,0.8922,0.3665,0.3695,0.3396,0.3445,0.3477,0.046
lr,Logistic Regression,0.3608,0.0,0.3608,0.3659,0.3421,0.3386,0.3404,1.072
knn,K Neighbors Classifier,0.3301,0.7821,0.3301,0.3444,0.3153,0.3069,0.3089,0.057
ridge,Ridge Classifier,0.3188,0.0,0.3188,0.2702,0.2635,0.2954,0.2997,0.03
dt,Decision Tree Classifier,0.3187,0.6475,0.3187,0.3186,0.3,0.295,0.2965,0.098
svm,SVM - Linear Kernel,0.1941,0.0,0.1941,0.1813,0.1567,0.167,0.1854,0.07
qda,Quadratic Discriminant Analysis,0.1704,0.0,0.1704,0.1681,0.1435,0.1415,0.1444,0.033
ada,Ada Boost Classifier,0.0651,0.0,0.0651,0.0107,0.0156,0.0362,0.0541,0.467
dummy,Dummy Classifier,0.0287,0.5,0.0287,0.0008,0.0016,0.0,0.0,0.039
