,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
et,Extra Trees Classifier,0.1952,0.7421,0.1952,0.1969,0.1833,0.1674,0.1683,0.208
rf,Random Forest Classifier,0.1762,0.737,0.1762,0.1743,0.162,0.148,0.1488,0.259
lightgbm,Light Gradient Boosting Machine,0.1638,0.7127,0.1638,0.1821,0.157,0.1351,0.1358,22.548
gbc,Gradient Boosting Classifier,0.1352,0.0,0.1352,0.1413,0.1267,0.1056,0.1063,10.007
dt,Decision Tree Classifier,0.1286,0.5494,0.1286,0.1312,0.1205,0.0987,0.0993,0.052
qda,Quadratic Discriminant Analysis,0.1257,0.0,0.1257,0.111,0.1038,0.0957,0.0971,0.031
knn,K Neighbors Classifier,0.1067,0.591,0.1067,0.0919,0.0866,0.0759,0.0771,0.077
nb,Naive Bayes,0.0952,0.6639,0.0952,0.0665,0.0627,0.064,0.0664,0.042
lda,Linear Discriminant Analysis,0.0933,0.0,0.0933,0.0715,0.0722,0.0621,0.0628,0.028
ridge,Ridge Classifier,0.0695,0.0,0.0695,0.0226,0.0315,0.0378,0.0398,0.028
ada,Ada Boost Classifier,0.0638,0.0,0.0638,0.03,0.0323,0.0325,0.0345,0.249
lr,Logistic Regression,0.0543,0.0,0.0543,0.0273,0.0324,0.0228,0.0237,0.728
svm,SVM - Linear Kernel,0.0333,0.0,0.0333,0.0016,0.0029,-0.0006,-0.0003,0.067
dummy,Dummy Classifier,0.0286,0.5,0.0286,0.0008,0.0016,0.0,0.0,0.038
