,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
et,Extra Trees Classifier,0.6552,0.9582,0.6552,0.6664,0.6326,0.6433,0.6456,0.234
lightgbm,Light Gradient Boosting Machine,0.6276,0.9494,0.6276,0.6457,0.6127,0.6147,0.6166,25.038
rf,Random Forest Classifier,0.621,0.9492,0.621,0.6303,0.5954,0.6078,0.6105,0.297
gbc,Gradient Boosting Classifier,0.5267,0.0,0.5267,0.5555,0.517,0.5103,0.5122,38.85
lda,Linear Discriminant Analysis,0.499,0.0,0.499,0.5026,0.4814,0.4817,0.4837,0.037
nb,Naive Bayes,0.4857,0.9278,0.4857,0.5002,0.4696,0.4679,0.4712,0.048
lr,Logistic Regression,0.4819,0.0,0.4819,0.4883,0.4635,0.464,0.4657,1.123
knn,K Neighbors Classifier,0.4819,0.8546,0.4819,0.4891,0.4605,0.464,0.4666,0.056
dt,Decision Tree Classifier,0.4419,0.7113,0.4419,0.4685,0.4312,0.4225,0.4242,0.098
ridge,Ridge Classifier,0.3943,0.0,0.3943,0.3188,0.3228,0.3736,0.3787,0.03
svm,SVM - Linear Kernel,0.3057,0.0,0.3057,0.3061,0.2692,0.2822,0.3105,0.065
qda,Quadratic Discriminant Analysis,0.2543,0.0,0.2543,0.2773,0.2356,0.228,0.2322,0.035
ada,Ada Boost Classifier,0.0819,0.0,0.0819,0.0102,0.0174,0.0537,0.069,0.482
dummy,Dummy Classifier,0.0286,0.5,0.0286,0.0008,0.0016,0.0,0.0,0.042
