,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
rf,Random Forest Classifier,0.1981,0.7372,0.1981,0.2066,0.1862,0.1704,0.1714,0.363
et,Extra Trees Classifier,0.1905,0.7361,0.1905,0.1828,0.1757,0.1625,0.1634,0.291
lightgbm,Light Gradient Boosting Machine,0.1743,0.7111,0.1743,0.1839,0.1666,0.1457,0.1465,27.723
qda,Quadratic Discriminant Analysis,0.1543,0.0,0.1543,0.1331,0.1318,0.125,0.1264,0.036
gbc,Gradient Boosting Classifier,0.1429,0.0,0.1429,0.1542,0.1386,0.1135,0.1141,10.875
dt,Decision Tree Classifier,0.1286,0.5492,0.1286,0.1277,0.1209,0.0983,0.0988,0.054
lda,Linear Discriminant Analysis,0.119,0.0,0.119,0.1024,0.0988,0.0889,0.09,0.035
nb,Naive Bayes,0.1029,0.6685,0.1029,0.0721,0.0729,0.072,0.074,0.043
ridge,Ridge Classifier,0.0933,0.0,0.0933,0.0412,0.0485,0.0623,0.066,0.026
knn,K Neighbors Classifier,0.0857,0.5738,0.0857,0.0974,0.0798,0.0543,0.0551,0.078
lr,Logistic Regression,0.0705,0.0,0.0705,0.0387,0.0403,0.0394,0.0409,0.706
ada,Ada Boost Classifier,0.0667,0.0,0.0667,0.0336,0.0356,0.0338,0.0362,0.29
svm,SVM - Linear Kernel,0.0371,0.0,0.0371,0.0026,0.0045,0.0044,0.0071,0.072
dummy,Dummy Classifier,0.0286,0.5,0.0286,0.0008,0.0016,0.0,0.0,0.035
