,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
et,Extra Trees Classifier,0.7038,0.9705,0.7038,0.7316,0.6913,0.6934,0.6954,0.246
rf,Random Forest Classifier,0.659,0.9615,0.659,0.6889,0.6474,0.6471,0.6489,0.299
lightgbm,Light Gradient Boosting Machine,0.6467,0.9534,0.6467,0.6821,0.6348,0.6343,0.6364,18.768
gbc,Gradient Boosting Classifier,0.5562,0.0,0.5562,0.5906,0.5463,0.5408,0.5429,35.958
lda,Linear Discriminant Analysis,0.5505,0.0,0.5505,0.5752,0.5378,0.5348,0.537,0.036
knn,K Neighbors Classifier,0.5438,0.8813,0.5438,0.5653,0.5239,0.5279,0.5308,0.056
lr,Logistic Regression,0.54,0.0,0.54,0.5502,0.5239,0.524,0.5259,1.094
nb,Naive Bayes,0.5371,0.9372,0.5371,0.5678,0.5198,0.521,0.5248,0.044
dt,Decision Tree Classifier,0.4705,0.726,0.4705,0.4971,0.457,0.4519,0.4539,0.093
ridge,Ridge Classifier,0.4676,0.0,0.4676,0.3972,0.4044,0.4492,0.4538,0.029
svm,SVM - Linear Kernel,0.3819,0.0,0.3819,0.4055,0.3537,0.3602,0.385,0.065
qda,Quadratic Discriminant Analysis,0.2714,0.0,0.2714,0.2789,0.2448,0.2461,0.2507,0.034
ada,Ada Boost Classifier,0.0848,0.0,0.0848,0.0256,0.0288,0.0559,0.0755,0.469
dummy,Dummy Classifier,0.0286,0.5,0.0286,0.0008,0.0016,0.0,0.0,0.038
