epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,79.6244,2.76108,8.01986,0.73873,1.80307,0.14745,42.5041,0.36674,0.45854,0.35265,0.13231,0.03741,0.06341,0.01301,0.00149,1.9029,8.70347,0.16734,1.93695,0.10825,0,0.000662963,0.000662963,0.000662963
2,150.241,2.1406,6.61294,0.4641,1.58848,0.11672,24.366,0.14673,0.15122,0.06805,0.01892,0.08319,0.07317,0.01662,0.00234,nan,nan,nan,nan,nan,0,0.00132085,0.00132085,0.00132085
3,219.997,1.7537,4.25637,0.48157,1.68587,0.09207,19.9506,0.60628,0.79512,0.67421,0.26289,0.40306,0.68293,0.33994,0.11706,1.98499,3.8038,0.29877,1.4516,0.10952,0,0.00196995,0.00196995,0.00196995
4,292.715,1.83464,3.58072,0.45284,1.35269,0.09486,18.2206,0.00652,0.12195,0.00549,0.00091,0.00026,0.00488,0.00014,3e-05,4.6431,8.66057,0.41127,3.18065,0.2653,0,0.0019604,0.0019604,0.0019604
5,364.013,1.47643,3.114,0.46421,1.27753,0.07641,17.3098,0.91981,0.70244,0.87685,0.56885,0.89731,0.69268,0.84884,0.49275,1.38821,1.65637,0.25951,0.93148,0.07246,0,0.0019472,0.0019472,0.0019472
6,433.738,1.75702,2.85484,0.44624,1.26166,0.0936,16.745,0.86754,0.83063,0.89587,0.37513,0.62968,0.62927,0.55384,0.23177,1.67324,2.52335,0.44313,1.14959,0.09503,0,0.001934,0.001934,0.001934
7,502.587,1.37878,2.58715,0.44197,0.90132,0.06849,16.0926,0.70538,0.77073,0.78474,0.43199,0.66693,0.77165,0.7906,0.46858,1.69452,1.72372,0.19708,1.27207,0.09131,0,0.0019208,0.0019208,0.0019208
8,571.58,1.31968,2.60658,0.4405,0.84799,0.06701,16.2358,0.89709,0.89294,0.94208,0.63396,0.85112,0.78081,0.85478,0.43971,1.35069,2.25382,0.36222,0.62154,0.06907,0,0.0019076,0.0019076,0.0019076
9,648.239,1.39147,2.51775,0.40951,0.7902,0.06928,15.9924,0.87046,0.91779,0.94427,0.48774,0.86583,0.91291,0.94487,0.63094,1.656,1.27079,0.22905,0.76012,0.09449,0,0.0018944,0.0018944,0.0018944
10,725.309,1.33843,2.55106,0.43302,0.85607,0.06813,16.0514,0.85854,0.85854,0.93886,0.4694,0.81386,0.82927,0.89499,0.55876,1.68074,1.52566,0.31373,0.76349,0.09574,0,0.0018812,0.0018812,0.0018812
11,807.207,1.32423,2.38388,0.39609,0.77649,0.06488,16.0326,0.91549,0.85854,0.94353,0.61119,0.8652,0.82927,0.91156,0.59171,1.41389,1.59781,0.18934,0.75378,0.07251,0,0.001868,0.001868,0.001868
12,878.027,1.34648,2.46549,0.40263,0.70864,0.06791,15.9582,0.97031,0.94634,0.98552,0.61795,0.97544,0.95122,0.98578,0.6801,1.41203,1.21417,0.28896,0.52699,0.07718,0,0.0018548,0.0018548,0.0018548
13,948.749,1.22391,2.39583,0.39929,0.55935,0.0617,15.7623,0.92012,0.9552,0.96622,0.59862,0.92952,0.96495,0.97499,0.69664,1.42128,1.09984,0.26159,0.54048,0.0783,0,0.0018416,0.0018416,0.0018416
14,1017.96,1.18948,2.36002,0.38422,1.29375,0.05834,16.0158,0.88558,0.94387,0.97064,0.6164,0.89051,0.94634,0.96689,0.67757,1.37765,1.10481,0.40673,0.51659,0.07439,0,0.0018284,0.0018284,0.0018284
15,1087.82,1.22798,2.39865,0.37942,0.50597,0.06095,15.7867,0.93931,0.94146,0.98559,0.64949,0.93731,0.94146,0.9783,0.68835,1.30144,1.11902,0.35948,0.4814,0.0695,0,0.0018152,0.0018152,0.0018152
16,1164.92,1.15781,2.10174,0.35501,0.51841,0.05728,15.0686,0.96091,0.95938,0.98744,0.59092,0.96569,0.96106,0.99116,0.68348,1.50064,1.0943,0.19893,0.58341,0.08357,0,0.001802,0.001802,0.001802
17,1234.98,1.10234,2.04631,0.34175,0.44183,0.05404,14.8435,0.97114,0.98482,0.99223,0.69535,0.97595,0.9897,0.99361,0.72578,1.20684,1.07374,0.31286,0.36932,0.06364,0,0.0017888,0.0017888,0.0017888
18,1303.7,1.18965,2.13265,0.34355,0.47736,0.05857,15.009,0.98509,0.96674,0.994,0.68069,0.99493,0.95802,0.99395,0.7027,1.2229,1.10042,0.19711,0.38513,0.06476,0,0.0017756,0.0017756,0.0017756
19,1372.58,1.11213,2.11497,0.3463,0.45105,0.05507,15.0707,0.97848,0.9561,0.9925,0.71407,0.9406,0.96098,0.97236,0.55327,1.14071,1.50585,0.28768,0.41133,0.06,0,0.0017624,0.0017624,0.0017624
20,1442.23,1.02158,1.99548,0.32788,0.42429,0.04972,14.7576,0.97141,0.99432,0.99359,0.61087,0.97584,0.98511,0.9933,0.72689,1.50923,1.093,0.40295,0.50028,0.08324,0,0.0017492,0.0017492,0.0017492
21,1511.07,1.17662,1.98302,0.32594,0.47018,0.0596,14.7485,0.95249,0.97798,0.98952,0.64682,0.95249,0.97798,0.98977,0.71702,1.31044,1.0127,0.2795,0.46223,0.07041,0,0.001736,0.001736,0.001736
22,1580.9,1.13688,1.92142,0.32084,0.45185,0.05563,14.5791,0.97063,0.96724,0.99204,0.7116,0.96084,0.95749,0.98589,0.70236,1.13338,1.08306,0.51532,0.40815,0.05837,0,0.0017228,0.0017228,0.0017228
23,1649.98,1.07778,1.94351,0.3226,0.38613,0.05262,14.7211,0.96172,0.98041,0.98706,0.63273,0.96172,0.98041,0.99107,0.70735,1.48213,1.04882,0.20616,0.44667,0.07642,0,0.0017096,0.0017096,0.0017096
24,1720.44,1.03776,2.01169,0.32704,0.38333,0.05044,14.7841,0.95298,0.98863,0.98964,0.72867,0.95298,0.98863,0.98735,0.67946,1.09319,1.14211,0.23652,0.39532,0.05641,0,0.0016964,0.0016964,0.0016964
25,1792.97,1.10385,1.86972,0.31728,0.39403,0.05386,14.4299,0.86954,0.94291,0.96776,0.66077,0.89527,0.91735,0.96816,0.60678,1.32329,1.45511,0.17559,0.52199,0.068,0,0.0016832,0.0016832,0.0016832
26,1871.15,1.02851,1.85843,0.31202,0.37006,0.0492,14.2237,0.9712,0.98692,0.99427,0.73714,0.99493,0.95757,0.99399,0.70213,1.10839,1.12892,0.30522,0.32464,0.05642,0,0.00167,0.00167,0.00167
27,1947.16,1.05016,1.86976,0.3165,0.37404,0.05085,14.4402,0.96242,0.99953,0.98515,0.69431,0.95304,0.98993,0.98776,0.66648,1.22884,1.16441,0.35106,0.40024,0.06383,0,0.0016568,0.0016568,0.0016568
28,2020.57,0.97142,1.76352,0.29068,0.35221,0.04619,14.0008,0.96589,0.96707,0.99042,0.74006,0.95615,0.95739,0.97225,0.65127,1.08743,1.25916,0.399,0.40274,0.05612,0,0.0016436,0.0016436,0.0016436
29,2096.76,0.98281,1.76263,0.28827,0.36301,0.04721,14.1151,0.97097,0.97893,0.99304,0.67511,0.96613,0.97405,0.99257,0.66503,1.25768,1.22297,0.27095,0.4015,0.06704,0,0.0016304,0.0016304,0.0016304
30,2172.08,1.01607,1.85127,0.31593,0.34609,0.04899,14.1184,0.97586,0.98589,0.99345,0.73438,0.95301,0.9893,0.98816,0.68536,1.09937,1.16556,0.24328,0.35135,0.05563,0,0.0016172,0.0016172,0.0016172
31,2243.82,0.96978,1.76488,0.31124,0.32435,0.04568,13.9209,0.99514,0.99917,0.995,0.68854,0.96628,0.97857,0.98104,0.5226,1.28089,1.77106,0.0512,0.33868,0.06737,0,0.001604,0.001604,0.001604
32,2316.85,1.01999,1.70643,0.31465,0.36558,0.04959,13.9104,0.97592,0.99024,0.99177,0.6477,0.97585,0.98546,0.98971,0.65643,1.35233,1.3601,0.62476,0.42658,0.07279,0,0.0015908,0.0015908,0.0015908
33,2389.58,1.07009,1.72267,0.29995,0.37869,0.05197,13.9534,0.98096,0.98537,0.99416,0.71812,0.96639,0.97073,0.9825,0.6257,1.1695,1.41788,0.15953,0.3396,0.06163,0,0.0015776,0.0015776,0.0015776
34,2461.29,0.98721,1.72273,0.31707,0.33756,0.04742,13.887,0.96515,0.98537,0.99138,0.72951,0.94582,0.96585,0.985,0.66033,1.11143,1.25983,0.42301,0.36806,0.05664,0,0.0015644,0.0015644,0.0015644
35,2532.18,0.93253,1.64343,0.29377,0.302,0.04421,13.5608,0.98066,0.98916,0.99297,0.70502,0.97098,0.9794,0.98831,0.62968,1.17015,1.35949,0.27641,0.38819,0.0606,0,0.0015512,0.0015512,0.0015512
36,2610.61,0.99114,1.61125,0.29888,0.32861,0.04777,13.527,0.96767,0.99512,0.99336,0.69496,0.9487,0.97561,0.97218,0.46721,1.22666,1.95826,0.0934,0.37338,0.0642,0,0.001538,0.001538,0.001538
37,2683.71,0.91502,1.64241,0.28455,0.30492,0.04362,13.6445,0.97489,0.97073,0.9935,0.68327,0.96019,0.9561,0.98124,0.47353,1.32978,1.96629,0.14593,0.382,0.06835,0,0.0015248,0.0015248,0.0015248
38,2756.16,0.87975,1.6932,0.29512,0.31086,0.04232,13.8529,0.98536,0.98483,0.99396,0.7104,0.9756,0.97507,0.99149,0.69051,1.22412,1.19943,0.14461,0.34215,0.06394,0,0.0015116,0.0015116,0.0015116
39,2827.95,0.97281,1.63803,0.28723,0.33959,0.04669,13.4683,0.99006,0.97211,0.99356,0.73969,0.9851,0.96724,0.98941,0.60539,1.11291,1.44356,0.11363,0.34523,0.05689,0,0.0014984,0.0014984,0.0014984
40,2902.25,0.89067,1.53122,0.26616,0.28849,0.04222,13.295,0.99019,0.98502,0.99425,0.74353,0.99019,0.98502,0.99436,0.65649,1.07026,1.31118,0.19366,0.3098,0.05522,0,0.0014852,0.0014852,0.0014852
41,2974.7,0.95516,1.56958,0.26667,0.29738,0.04538,13.2941,0.9951,0.98999,0.99471,0.7223,0.97549,0.97055,0.97583,0.52322,1.16368,1.77905,0.10877,0.33834,0.06114,0,0.001472,0.001472,0.001472
42,3051.28,0.90418,1.57341,0.2708,0.31919,0.04307,13.3967,0.99513,0.99512,0.995,0.72778,0.98631,0.99512,0.9911,0.57132,1.16382,1.61836,0.13444,0.31742,0.05985,0,0.0014588,0.0014588,0.0014588
43,3122.05,0.95894,1.56021,0.26274,0.29666,0.04546,13.2586,0.99513,0.99731,0.99495,0.72487,0.99027,0.99243,0.99321,0.52866,1.16439,1.72659,0.18206,0.32437,0.06051,0,0.0014456,0.0014456,0.0014456
44,3198.41,0.90599,1.52767,0.27581,0.29681,0.04273,13.1968,0.98881,0.99024,0.99471,0.66742,0.97525,0.99024,0.99209,0.61151,1.39369,1.45459,0.05462,0.36454,0.07328,0,0.0014324,0.0014324,0.0014324
