epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5761,2.19863,5.68925,0.58699,1.3065,2.95041,0.52,0.63415,0.50023,0.2011,0.26667,0.69268,0.22906,0.05092,2.23237,5.45262,0.2933,6.47052,3.78861,0.000659259,0.000659259,0.000659259
2,50.7043,1.11488,3.28176,0.44043,0.70333,1.95113,0.80466,0.6631,0.71677,0.37034,0.52455,0.43415,0.29225,0.0944,2.3171,5.0688,0.35836,1.53461,2.79184,0.00131717,0.00131717,0.00131717
3,74.2543,0.92126,2.52391,0.4281,0.6684,1.76889,0.97891,0.97073,0.99054,0.67799,0.95972,0.92978,0.96036,0.46043,1.26565,2.37763,0.19211,1.22747,2.08211,0.00196629,0.00196629,0.00196629
4,98.5656,0.76547,2.24399,0.35843,0.56378,1.55695,0.96922,0.98537,0.99408,0.67949,0.6872,0.73946,0.71553,0.28434,1.14169,2.16234,0.08472,0.9948,1.83556,0.0019604,0.0019604,0.0019604
5,122.548,0.64279,2.02262,0.33895,0.50349,1.40821,0.97547,0.96984,0.99267,0.75276,0.94768,0.9719,0.98086,0.65004,1.12505,1.47356,0.19715,0.7062,1.8816,0.0019472,0.0019472,0.0019472
6,146.864,0.68743,1.94744,0.31639,0.53999,1.44771,0.95738,0.9561,0.9911,0.66137,0.96662,0.90732,0.97208,0.58793,1.28614,1.65913,0.25451,0.86341,2.30569,0.001934,0.001934,0.001934
7,170.108,0.62191,1.83458,0.31094,0.46014,1.35572,0.96472,0.93381,0.98926,0.71858,0.95822,0.91707,0.98148,0.66967,1.21152,1.62193,0.29664,0.73845,1.82022,0.0019208,0.0019208,0.0019208
8,193.232,0.62363,1.93643,0.32331,0.47693,1.37121,0.99017,1,0.9934,0.74926,0.99017,1,0.99466,0.53963,1.02057,1.56832,0.3995,0.68971,1.80912,0.0019076,0.0019076,0.0019076
9,218.614,0.57784,1.74745,0.29235,0.44664,1.30982,0.99512,0.99462,0.9928,0.78371,0.98043,0.97777,0.98728,0.4422,0.95731,2.32904,0.23825,0.66573,1.75787,0.0018944,0.0018944,0.0018944
10,243.1,0.55475,1.77838,0.29504,0.44766,1.27402,0.99838,1,0.995,0.79365,0.99485,1,0.99379,0.72262,0.91797,1.24725,0.3472,0.52294,1.77288,0.0018812,0.0018812,0.0018812
